date,firm,n,sd,source,FDP,GRUENE,LINKE,others,SPD,Union,AfD
2010-06-17,"FG Wahlen",1265,0.026,NA,5,15,11,5,31,33,
2010-06-17,Allensbach,1882,0.021,NA,7,15.5,11,5.5,29,32,
2010-06-18,Forsa,2504,0.018,NA,5,18,12,8,27,30,
2010-06-21,Emnid,3675,0.015,NA,6,16,13,5,28,32,
2010-06-25,Forsa,2500,0.018,NA,4,18,11,8,27,32,
2010-06-28,Emnid,3678,0.015,NA,6,16,12,5,29,32,
2010-07-02,Forsa,2501,0.018,NA,4,18,12,8,27,31,
2010-07-05,Emnid,3240,0.016,NA,6,17,11,7,28,31,
2010-07-09,Forsa,2501,0.018,NA,4,18,11,8,28,31,
2010-07-12,Emnid,3272,0.016,NA,6,16,11,6,30,31,
2010-07-15,"FG Wahlen",1178,0.027,NA,5,15,10,5,32,33,
2010-07-15,Allensbach,1796,0.021,NA,6.5,15.5,9.5,5.5,31.5,31.5,
2010-07-16,Forsa,2500,0.018,NA,4,19,11,8,28,30,
2010-07-19,Emnid,3729,0.015,NA,5,16,11,6,30,32,
2010-07-23,Forsa,2502,0.018,NA,5,19,11,8,28,29,
2010-07-26,Emnid,3291,0.016,NA,6,16,11,6,29,32,
2010-07-30,Forsa,2501,0.018,NA,5,18,11,8,28,30,
2010-08-02,Emnid,4681,0.013,NA,7,16,11,6,29,31,
2010-08-06,Forsa,2501,0.018,NA,5,19,11,8,28,29,
2010-08-09,Emnid,3308,0.016,NA,6,17,11,5,30,31,
2010-08-12,Allensbach,1807,0.022,NA,6,17,8.5,5.5,32,31,
2010-08-13,Forsa,2501,0.018,NA,4,20,11,8,27,30,
2010-08-16,Emnid,3757,0.015,NA,6,17,10,6,29,32,
2010-08-20,Forsa,2501,0.018,NA,5,20,11,7,27,30,
2010-08-23,Emnid,3251,0.016,NA,7,18,10,6,28,31,
2010-08-26,"FG Wahlen",1211,0.026,NA,5,16,10,5,31,33,
2010-08-27,Forsa,2501,0.018,NA,6,19,9,8,27,31,
2010-08-30,Emnid,3282,0.016,NA,6,18,10,5,30,31,
2010-09-03,Forsa,2503,0.018,NA,5,21,10,8,25,31,
2010-09-04,Emnid,3253,0.016,NA,6,19,11,5,28,31,
2010-09-09,"FG Wahlen",1221,0.026,NA,5,17,10,5,31,32,
2010-09-10,Forsa,2501,0.018,NA,5,22,11,8,24,30,
2010-09-13,Emnid,2329,0.019,NA,6,18,11,6,28,31,
2010-09-16,Allensbach,1832,0.021,NA,6.5,18.5,8,5,29.5,32.5,
2010-09-17,Forsa,2501,0.018,NA,5,24,10,8,24,29,
2010-09-20,Emnid,3228,0.016,NA,6,20,11,6,26,31,
2010-09-23,"FG Wahlen",1227,0.026,NA,5,19,9,6,30,31,
2010-09-24,Forsa,2500,0.018,NA,5,23,10,7,25,30,
2010-09-27,Emnid,3271,0.016,NA,6,20,10,6,28,30,
2010-09-30,"FG Wahlen",1323,0.025,NA,5,19,9,6,30,31,
2010-10-01,Forsa,2501,0.018,NA,5,24,10,7,23,31,
2010-10-04,Emnid,4196,0.014,NA,6,20,9,6,28,31,
2010-10-08,Forsa,2502,0.018,NA,4,25,12,7,23,29,
2010-10-11,Emnid,4657,0.013,NA,5,22,10,6,27,30,
2010-10-14,Allensbach,1786,0.021,NA,5.5,20.5,9.5,6,28,30.5,
2010-10-15,Forsa,2510,0.018,NA,4,24,11,7,23,31,
2010-10-18,Emnid,4204,0.014,NA,5,23,10,6,26,30,
2010-10-21,"FG Wahlen",1250,0.026,NA,5,20,9,5,29,32,
2010-10-22,Forsa,2502,0.018,NA,5,24,11,7,23,30,
2010-10-25,Emnid,3261,0.016,NA,5,22,10,7,25,31,
2010-10-29,Forsa,2501,0.018,NA,4,24,11,8,23,30,
2010-11-01,Emnid,3712,0.015,NA,5,22,11,6,25,31,
2010-11-05,Forsa,2503,0.018,NA,5,23,10,7,23,32,
2010-11-08,Emnid,3281,0.016,NA,6,21,10,5,27,31,
2010-11-10,Emnid,3281,0.016,NA,5,22,10,5,27,31,
2010-11-11,"FG Wahlen",1262,0.026,NA,5,20,9,5,28,33,
2010-11-12,Forsa,2503,0.018,NA,5,22,11,6,23,33,
2010-11-17,Emnid,3749,0.015,NA,6,20,10,6,26,32,
2010-11-18,Allensbach,1837,0.021,NA,6,19.5,9,6,27.5,32,
2010-11-19,Forsa,2500,0.019,NA,5,22,10,7,22,34,
2010-11-24,Emnid,3288,0.016,NA,6,21,9,7,24,33,
2010-11-26,Forsa,2501,0.019,NA,5,22,10,7,22,34,
2010-12-01,Emnid,3271,0.016,NA,5,20,10,7,24,34,
2010-12-02,"FG Wahlen",1317,0.026,NA,5,20,9,5,27,34,
2010-12-03,Forsa,2503,0.019,NA,4,21,10,8,23,34,
2010-12-08,Emnid,2819,0.018,NA,5,19,10,6,25,35,
2010-12-10,Forsa,2500,0.019,NA,4,20,11,7,24,34,
2010-12-10,Allensbach,1852,0.022,NA,6,18.5,8,5,28.5,34,
2010-12-15,Emnid,4159,0.014,NA,5,20,10,5,26,34,
2010-12-16,"FG Wahlen",1421,0.025,NA,5,19,9,5,28,34,
2010-12-17,Forsa,2502,0.019,NA,3,19,11,8,24,35,
2010-12-22,Emnid,3267,0.016,NA,5,19,10,5,27,34,
2010-12-23,Forsa,2004,0.021,NA,3,20,11,7,25,34,
2010-12-30,Forsa,1502,0.024,NA,12,13,11,7,22,35,
2011-01-05,Emnid,1910,0.021,NA,5,20,9,5,26,35,
2011-01-07,Forsa,2503,0.019,NA,3,21,9,7,25,35,
2011-01-12,"FG Wahlen",1245,0.026,NA,5,18,8,5,29,35,
2011-01-12,Emnid,3286,0.016,NA,5,19,9,6,26,35,
2011-01-14,Forsa,2503,0.019,NA,4,20,9,7,24,36,
2011-01-19,Emnid,4256,0.014,NA,5,19,9,5,27,35,
2011-01-21,Forsa,2502,0.019,NA,4,20,9,7,23,37,
2011-01-21,Allensbach,1861,0.022,NA,5.5,18,8.5,6,27.5,34.5,
2011-01-26,Emnid,3298,0.016,NA,4,18,9,5,28,36,
2011-01-27,"FG Wahlen",1336,0.026,NA,5,19,8,5,27,36,
2011-01-28,Forsa,2501,0.019,NA,5,21,9,7,22,36,
2011-02-02,Emnid,2790,0.018,NA,5,17,10,6,27,35,
2011-02-04,Forsa,2507,0.019,NA,5,20,10,7,22,36,
2011-02-09,Emnid,2827,0.017,NA,6,19,10,6,25,34,
2011-02-10,"FG Wahlen",1257,0.027,NA,5,17,9,6,27,36,
2011-02-11,Forsa,2504,0.019,NA,5,19,11,7,22,36,
2011-02-16,Emnid,3265,0.016,NA,6,19,9,6,25,35,
2011-02-17,Allensbach,1803,0.022,NA,6.5,16.5,7.5,5,28.5,36,
2011-02-18,Forsa,2501,0.019,NA,5,18,10,8,23,36,
2011-02-23,Emnid,5152,0.013,NA,6,16,9,6,28,35,
2011-02-24,"FG Wahlen",1306,0.026,NA,5,15,9,6,29,36,
2011-02-25,Forsa,2503,0.019,NA,5,16,10,8,27,34,
2011-03-02,Emnid,2827,0.017,NA,7,15,9,7,29,33,
2011-03-04,Forsa,2501,0.019,NA,5,16,10,7,26,36,
2011-03-09,Emnid,3757,0.015,NA,6,15,10,6,28,35,
2011-03-11,Forsa,2506,0.019,NA,6,15,10,7,26,36,
2011-03-13,Allensbach,1811,0.022,NA,6.5,15,8,5,29,36.5,
2011-03-14,Forsa,1004,0.03,NA,5,18,9,6,26,36,
2011-03-16,Emnid,3723,0.015,NA,5,18,9,6,28,34,
2011-03-18,Forsa,2504,0.018,NA,5,20,9,8,25,33,
2011-03-23,Emnid,2793,0.018,NA,4,20,9,6,27,34,
2011-03-25,Forsa,2503,0.018,NA,5,21,8,8,25,33,
2011-03-30,Emnid,2777,0.017,NA,5,23,8,5,26,33,
2011-03-31,"FG Wahlen",1283,0.026,NA,5,19,8,6,28,34,
2011-04-01,Forsa,2505,0.018,NA,3,28,9,7,23,30,
2011-04-07,Emnid,1862,0.021,NA,4,24,8,6,25,33,
2011-04-08,Forsa,2501,0.018,NA,4,27,8,7,24,30,
2011-04-13,Emnid,4193,0.014,NA,5,24,9,7,23,32,
2011-04-14,"FG Wahlen",1254,0.026,NA,4,23,7,5,27,34,
2011-04-15,Forsa,2504,0.018,NA,3,28,8,7,23,31,
2011-04-16,Allensbach,1740,0.022,NA,5,23,7,5,28,32,
2011-04-20,Emnid,3268,0.016,NA,4,23,8,7,25,33,
2011-04-21,Forsa,2005,0.02,NA,4,27,9,7,22,31,
2011-04-27,Emnid,1881,0.021,NA,4,24,8,6,24,34,
2011-04-29,Forsa,2001,0.02,NA,4,28,8,8,21,31,
2011-05-04,Emnid,2291,0.019,NA,5,23,9,6,24,33,
2011-05-05,"FG Wahlen",1325,0.026,NA,4,23,7,5,26,35,
2011-05-06,Forsa,2003,0.02,NA,4,26,9,8,22,31,
2011-05-11,Emnid,2770,0.018,NA,5,22,9,7,24,33,
2011-05-13,Forsa,2501,0.018,NA,3,26,9,8,22,32,
2011-05-14,Allensbach,1789,0.022,NA,5.5,22,6.5,6,27,33,
2011-05-18,Emnid,2319,0.019,NA,5,21,8,6,26,34,
2011-05-22,Forsa,2502,0.018,NA,5,26,9,7,21,32,
2011-05-25,Emnid,2769,0.018,NA,6,21,8,5,26,34,
2011-05-26,"FG Wahlen",1228,0.026,NA,4,22,7,5,28,34,
2011-05-27,Forsa,2501,0.018,NA,4,26,8,8,24,30,
2011-05-31,Emnid,2766,0.018,NA,5,23,8,6,25,33,
2011-06-03,Forsa,2003,0.02,NA,5,27,8,8,22,30,
2011-06-08,Emnid,3705,0.015,NA,4,22,8,6,26,34,
2011-06-09,"FG Wahlen",1332,0.025,NA,4,22,7,5,28,34,
2011-06-10,Forsa,2501,0.018,NA,4,26,9,7,23,31,
2011-06-15,Emnid,2327,0.019,NA,5,23,9,6,25,32,
2011-06-17,Forsa,2008,0.02,NA,4,25,9,7,23,32,
2011-06-18,Allensbach,1757,0.022,NA,4.5,21,7,5.5,27.5,34.5,
2011-06-21,Emnid,2812,0.017,NA,6,22,8,6,26,32,
2011-06-24,Forsa,2506,0.018,NA,5,24,9,7,23,32,
2011-06-29,Emnid,1857,0.022,NA,5,21,8,6,26,34,
2011-07-01,Forsa,2500,0.018,NA,5,23,9,7,23,33,
2011-07-06,Emnid,1857,0.021,NA,5,21,8,6,27,33,
2011-07-08,Forsa,2504,0.018,NA,4,23,10,8,24,31,
2011-07-13,Emnid,1886,0.021,NA,5,21,9,6,27,32,
2011-07-14,"FG Wahlen",1273,0.026,NA,4,22,7,5,29,33,
2011-07-15,Forsa,2506,0.018,NA,4,23,9,8,24,32,
2011-07-15,Allensbach,1751,0.022,NA,5.5,20,7.5,6,27,34,
2011-07-20,Emnid,3299,0.016,NA,4,22,9,5,27,33,
2011-07-22,Forsa,2505,0.018,NA,3,22,10,7,25,33,
2011-07-27,Emnid,3291,0.016,NA,4,22,8,5,28,33,
2011-07-29,Forsa,2501,0.018,NA,3,22,10,7,26,32,
2011-08-03,Emnid,2363,0.019,NA,5,21,8,5,28,33,
2011-08-05,Forsa,2502,0.018,NA,3,21,9,8,27,32,
2011-08-10,Emnid,2366,0.019,NA,4,21,9,6,27,33,
2011-08-11,"FG Wahlen",1280,0.026,NA,4,20,7,6,29,34,
2011-08-12,Forsa,2501,0.018,NA,4,21,9,8,26,32,
2011-08-13,Allensbach,1771,0.022,NA,4.5,20,7.5,6,29,33,
2011-08-17,Emnid,2814,0.017,NA,5,20,8,7,29,31,
2011-08-19,Forsa,2500,0.018,NA,5,21,8,8,26,32,
2011-08-24,Emnid,1873,0.021,NA,5,20,8,7,28,32,
2011-08-26,Forsa,2500,0.018,NA,5,21,9,7,25,33,
2011-08-31,Emnid,2854,0.017,NA,4,21,8,7,28,32,
2011-09-02,Forsa,2501,0.018,NA,4,19,9,9,27,32,
2011-09-07,Emnid,2844,0.017,NA,4,19,8,6,30,33,
2011-09-08,"FG Wahlen",1287,0.026,NA,4,20,6,6,30,34,
2011-09-09,Forsa,2500,0.018,NA,4,19,9,8,29,31,
2011-09-14,Emnid,2808,0.017,NA,4,19,8,7,30,32,
2011-09-16,Forsa,2505,0.018,NA,3,20,9,9,28,31,
2011-09-16,Allensbach,1802,0.022,NA,5,19,8,6,28.5,33.5,
2011-09-21,Emnid,2803,0.017,NA,4,18,8,7,30,33,
2011-09-22,"FG Wahlen",1229,0.026,NA,4,18,6,4,30,34,
2011-09-23,Forsa,2501,0.018,NA,2,19,7,5,29,31,
2011-09-28,Emnid,2806,0.017,NA,4,17,7,5,28,32,
2011-09-30,Forsa,2502,0.018,NA,3,17,7,6,28,31,
2011-10-05,Emnid,3257,0.016,NA,3,17,7,4,28,32,
2011-10-07,Forsa,2003,0.02,NA,4,17,8,5,27,31,
2011-10-12,Emnid,2350,0.019,NA,4,16,7,4,28,32,
2011-10-13,"FG Wahlen",1255,0.026,NA,4,16,6,4,30,34,
2011-10-14,Forsa,2502,0.018,NA,3,16,8,6,26,31,
2011-10-16,Allensbach,1869,0.021,NA,4.5,17.5,7.5,3.5,30.5,31,
2011-10-19,Emnid,1888,0.021,NA,3,16,7,4,28,32,
2011-10-21,Forsa,2504,0.018,NA,3,16,8,5,27,31,
2011-10-27,"FG Wahlen",1226,0.027,NA,4,16,6,3,31,34,
2011-10-27,Emnid,2325,0.019,NA,3,17,8,4,28,30,
2011-10-28,Forsa,2501,0.018,NA,3,16,8,4,28,32,
2011-11-02,Emnid,2363,0.019,NA,4,15,8,4,29,32,
2011-11-04,Forsa,2501,0.018,NA,3,15,8,5,28,33,
2011-11-09,Emnid,2351,0.019,NA,4,15,8,3,30,33,
2011-11-10,"FG Wahlen",1278,0.026,NA,4,17,7,3,30,34,
2011-11-11,Forsa,2503,0.019,NA,2,15,9,5,26,34,
2011-11-11,Allensbach,1774,0.022,NA,4.5,17,8,4,30,32,
2011-11-16,Emnid,3254,0.016,NA,3,16,8,3,30,33,
2011-11-18,Forsa,2505,0.019,NA,3,14,8,5,26,36,
2011-11-23,Emnid,2324,0.019,NA,3,15,8,4,29,34,
2011-11-24,"FG Wahlen",1276,0.026,NA,4,16,6,4,30,35,
2011-11-25,Forsa,2506,0.019,NA,3,16,9,5,25,35,
2011-11-30,Emnid,3255,0.016,NA,3,15,8,5,28,34,
2011-12-02,Forsa,2501,0.019,NA,3,16,9,5,26,35,
2011-12-04,Allensbach,1889,0.021,NA,4,16,7,4,30,34,
2011-12-07,Emnid,3635,0.016,NA,3,14,7,4,30,35,
2011-12-09,Forsa,2502,0.019,NA,3,14,8,5,28,35,
2011-12-14,Emnid,3203,0.016,NA,3,15,7,4,30,34,
2011-12-15,"FG Wahlen",1232,0.026,NA,4,17,6,4,31,34,
2011-12-16,Forsa,2500,0.019,NA,2,14,7,5,28,35,
2011-12-21,Emnid,2728,0.018,NA,3,15,7,3,30,35,
2011-12-23,Forsa,2503,0.019,NA,3,14,8,5,28,35,
2011-12-30,Forsa,2005,0.021,NA,4,20,11,7,24,34,
2012-01-04,Emnid,1855,0.022,NA,3,16,7,3,29,35,
2012-01-06,Forsa,2501,0.019,NA,2,16,7,5,26,36,
2012-01-11,Emnid,1856,0.022,NA,3,16,7,3,29,35,
2012-01-12,"FG Wahlen",1359,0.026,NA,4,15,6,4,31,36,
2012-01-13,Forsa,2500,0.019,NA,3,15,7,5,27,35,
2012-01-18,Emnid,2787,0.018,NA,3,15,7,4,29,35,
2012-01-20,Forsa,2500,0.019,NA,3,15,7,5,27,36,
2012-01-21,Allensbach,1904,0.021,NA,4,16.5,7,4.5,29,35,
2012-01-25,Emnid,2795,0.018,NA,3,15,7,4,29,34,
